date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:41	14646/14646	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:42:26%20GMT	http://clapat.ro/themes/grenada/index.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/index.html	(from )
08:01:43	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2009%20Feb%202017%2009:35:22%20GMT	http://clapat.ro/themes/grenada/favicon.ico	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/favicon.ico	(from http://clapat.ro/themes/grenada/index.html)
08:01:45	52938/52938	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Nov%202018%2020:16:13%20GMT	http://clapat.ro/themes/grenada/style.css	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/style.css	(from http://clapat.ro/themes/grenada/index.html)
08:01:45	21984/21984	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Aug%202014%2008:46:50%20GMT	http://clapat.ro/themes/grenada/css/font-awesome.min.css	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/css/font-awesome.min.css	(from http://clapat.ro/themes/grenada/index.html)
08:01:46	2447/2447	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Sep%202018%2002:10:28%20GMT	http://clapat.ro/themes/grenada/images/logo.png	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/images/logo.png	(from http://clapat.ro/themes/grenada/index.html)
08:01:47	2493/2493	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jul%202018%2012:30:26%20GMT	http://clapat.ro/themes/grenada/images/logo-white.png	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/images/logo-white.png	(from http://clapat.ro/themes/grenada/index.html)
08:01:47	14657/14657	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:12:58%20GMT	http://clapat.ro/themes/grenada/index-centered.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/index-centered.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:48	14691/14691	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:12:54%20GMT	http://clapat.ro/themes/grenada/index-full.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/index-full.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:48	14650/14650	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:58%20GMT	http://clapat.ro/themes/grenada/index-fullmenu.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/index-fullmenu.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:49	13515/13515	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:37%20GMT	http://clapat.ro/themes/grenada/about.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/about.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:49	11779/11779	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:42%20GMT	http://clapat.ro/themes/grenada/contact.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/contact.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:50	14473/14473	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:48%20GMT	http://clapat.ro/themes/grenada/project01.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/project01.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:51	14417/14417	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:06%20GMT	http://clapat.ro/themes/grenada/project02.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/project02.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:51	17286/17286	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:11%20GMT	http://clapat.ro/themes/grenada/project03.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/project03.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:52	15292/15292	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:18%20GMT	http://clapat.ro/themes/grenada/project04.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/project04.html	(from http://clapat.ro/themes/grenada/index.html)
08:01:53	14225/14225	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:13:23%20GMT	http://clapat.ro/themes/grenada/project05.html	C:/Users/natha/Desktop/FAST%20WEBSEITEN/SLIDER/clapat.ro/themes/grenada/project05.html	(from http://clapat.ro/themes/grenada/index.html)
